type,name,prediction
share,COP,0.523364485981
share,TSM,0.560747663551
share,IBM,0.504672897196
share,AAPL,0.560747663551
share,FB,0.570093457944
share,AMZN,0.532710280374
share,UTX,0.467289719626
share,MSFT,0.476635514019
share,BA,0.570093457944
share,DCM,0.514018691589
share,ORCL,0.551401869159
share,SAP,0.429906542056
share,GOOG,0.476635514019
share,INTC,0.532710280374
share,CHL,0.476635514019
share,GE,0.560747663551
share,QCOM,0.570093457944
share,T,0.532710280374
share,V,0.579439252336
share,VZ,0.504672897196
share,MA,0.598130841121
share,CSCO,0.560747663551
share,EBAY,0.457943925234
share,CMCSA,0.560747663551
group,large,0.528037383178
share,ADBE,0.560747663551
share,EMC,0.532710280374
share,AMAT,0.570093457944
share,ETN,0.495327102804
share,CRM,0.495327102804
share,TXN,0.579439252336
share,AVGO,0.588785046729
share,TWTR,0.532710280374
share,LNKD,0.514018691589
share,PCLN,0.504672897196
share,NXPI,0.551401869159
share,CTSH,0.598130841121
share,ADP,0.551401869159
share,HPQ,0.532710280374
share,INTU,0.551401869159
share,ITW,0.523364485981
share,YHOO,0.570093457944
share,SNE,0.551401869159
share,NOK,0.560747663551
share,CERN,0.579439252336
share,BIDU,0.457943925234
share,MU,0.532710280374
share,WIT,0.485981308411
share,INFY,0.514018691589
share,VMW,0.504672897196
group,medium,0.537570093458
share,COUP,0.504672897196
share,JOBS,0.448598130841
share,VDSI,0.551401869159
share,CHGG,0.467289719626
share,CIR,0.542056074766
share,TTMI,0.420560747664
share,IRBT,0.542056074766
share,SSNI,0.495327102804
share,HTGC,0.542056074766
share,SOHU,0.495327102804
share,NSP,0.373831775701
share,SPSC,0.523364485981
share,SYKE,0.551401869159
share,SIGM,0.448598130841
share,GTN,0.560747663551
share,RENN,0.523364485981
share,BBOX,0.504672897196
share,CALX,0.504672897196
share,IPGP,0.364485981308
share,ITG,0.401869158879
share,LRN,0.485981308411
share,TBI,0.495327102804
share,TISI,0.523364485981
share,TWOU,0.429906542056
share,WIX,0.476635514019
group,small,0.487102803738
